Model,Truth,Correct or Under,Bad,Really Bad,Down instead of Up,,,
3,2,0,1,0,0,,Right or under,0.704280156
1,0,0,1,0,0,,Truth worse than prediction,0.295719844
0,0,1,0,0,0,,,
2,1,0,1,0,0,,Predicted even or better and ended up more than 5% down,0.050583658
4,2,0,1,0,0,,Predicted increase but had a decrease,0.06614786
1,1,1,0,0,0,,,
2,1,0,1,0,0,,,
3,2,0,1,0,0,,,
2,3,1,0,0,0,,,
3,1,0,1,0,1,,,
3,1,0,1,0,1,,,
1,0,0,1,0,0,,,
3,2,0,1,0,0,,,
2,2,1,0,0,0,,,
3,4,1,0,0,0,,,
2,3,1,0,0,0,,,
4,2,0,1,0,0,,,
2,1,0,1,0,0,,,
3,4,1,0,0,0,,,
3,3,1,0,0,0,,,
1,0,0,1,0,0,,,
4,3,0,1,0,0,,,
2,3,1,0,0,0,,,
0,0,1,0,0,0,,,
2,3,1,0,0,0,,,
2,2,1,0,0,0,,,
2,1,0,1,0,0,,,
2,2,1,0,0,0,,,
3,2,0,1,0,0,,,
4,4,1,0,0,0,,,
3,4,1,0,0,0,,,
2,3,1,0,0,0,,,
3,2,0,1,0,0,,,
4,4,1,0,0,0,,,
1,2,1,0,0,0,,,
3,4,1,0,0,0,,,
2,0,0,1,1,0,,,
2,1,0,1,0,0,,,
4,4,1,0,0,0,,,
2,3,1,0,0,0,,,
2,3,1,0,0,0,,,
2,2,1,0,0,0,,,
1,0,0,1,0,0,,,
2,3,1,0,0,0,,,
0,1,1,0,0,0,,,
3,3,1,0,0,0,,,
3,2,0,1,0,0,,,
1,1,1,0,0,0,,,
4,4,1,0,0,0,,,
4,4,1,0,0,0,,,
4,2,0,1,0,0,,,
1,1,1,0,0,0,,,
4,0,0,1,1,1,,,
2,4,1,0,0,0,,,
0,2,1,0,0,0,,,
2,4,1,0,0,0,,,
3,4,1,0,0,0,,,
0,2,1,0,0,0,,,
3,0,0,1,1,1,,,
3,2,0,1,0,0,,,
4,4,1,0,0,0,,,
4,4,1,0,0,0,,,
1,0,0,1,0,0,,,
2,2,1,0,0,0,,,
1,2,1,0,0,0,,,
4,4,1,0,0,0,,,
2,2,1,0,0,0,,,
2,4,1,0,0,0,,,
4,4,1,0,0,0,,,
4,4,1,0,0,0,,,
0,0,1,0,0,0,,,
4,1,0,1,0,1,,,
2,3,1,0,0,0,,,
4,2,0,1,0,0,,,
0,0,1,0,0,0,,,
4,2,0,1,0,0,,,
4,3,0,1,0,0,,,
4,4,1,0,0,0,,,
2,1,0,1,0,0,,,
2,1,0,1,0,0,,,
1,1,1,0,0,0,,,
0,0,1,0,0,0,,,
2,4,1,0,0,0,,,
2,2,1,0,0,0,,,
4,4,1,0,0,0,,,
1,0,0,1,0,0,,,
4,4,1,0,0,0,,,
1,1,1,0,0,0,,,
4,4,1,0,0,0,,,
0,3,1,0,0,0,,,
1,2,1,0,0,0,,,
4,2,0,1,0,0,,,
2,3,1,0,0,0,,,
4,3,0,1,0,0,,,
2,3,1,0,0,0,,,
0,0,1,0,0,0,,,
1,2,1,0,0,0,,,
3,1,0,1,0,1,,,
2,2,1,0,0,0,,,
2,2,1,0,0,0,,,
3,3,1,0,0,0,,,
0,0,1,0,0,0,,,
2,2,1,0,0,0,,,
4,4,1,0,0,0,,,
4,4,1,0,0,0,,,
4,3,0,1,0,0,,,
4,4,1,0,0,0,,,
2,4,1,0,0,0,,,
0,1,1,0,0,0,,,
4,3,0,1,0,0,,,
4,4,1,0,0,0,,,
1,2,1,0,0,0,,,
0,0,1,0,0,0,,,
2,1,0,1,0,0,,,
0,0,1,0,0,0,,,
3,3,1,0,0,0,,,
2,3,1,0,0,0,,,
4,3,0,1,0,0,,,
4,4,1,0,0,0,,,
3,3,1,0,0,0,,,
1,0,0,1,0,0,,,
0,2,1,0,0,0,,,
4,2,0,1,0,0,,,
2,0,0,1,1,0,,,
4,3,0,1,0,0,,,
2,2,1,0,0,0,,,
0,2,1,0,0,0,,,
4,4,1,0,0,0,,,
0,0,1,0,0,0,,,
2,3,1,0,0,0,,,
3,0,0,1,1,1,,,
3,3,1,0,0,0,,,
4,4,1,0,0,0,,,
2,4,1,0,0,0,,,
3,2,0,1,0,0,,,
4,3,0,1,0,0,,,
1,1,1,0,0,0,,,
2,2,1,0,0,0,,,
2,4,1,0,0,0,,,
4,4,1,0,0,0,,,
3,3,1,0,0,0,,,
1,1,1,0,0,0,,,
3,0,0,1,1,1,,,
2,2,1,0,0,0,,,
3,2,0,1,0,0,,,
1,0,0,1,0,0,,,
1,1,1,0,0,0,,,
1,2,1,0,0,0,,,
4,4,1,0,0,0,,,
3,3,1,0,0,0,,,
0,4,1,0,0,0,,,
2,3,1,0,0,0,,,
4,4,1,0,0,0,,,
0,0,1,0,0,0,,,
2,2,1,0,0,0,,,
1,0,0,1,0,0,,,
4,4,1,0,0,0,,,
4,4,1,0,0,0,,,
1,3,1,0,0,0,,,
0,4,1,0,0,0,,,
2,2,1,0,0,0,,,
1,0,0,1,0,0,,,
4,3,0,1,0,0,,,
3,0,0,1,1,1,,,
0,4,1,0,0,0,,,
4,2,0,1,0,0,,,
3,4,1,0,0,0,,,
0,0,1,0,0,0,,,
4,4,1,0,0,0,,,
3,4,1,0,0,0,,,
2,2,1,0,0,0,,,
2,2,1,0,0,0,,,
0,0,1,0,0,0,,,
3,4,1,0,0,0,,,
0,0,1,0,0,0,,,
3,4,1,0,0,0,,,
2,2,1,0,0,0,,,
0,0,1,0,0,0,,,
2,4,1,0,0,0,,,
0,1,1,0,0,0,,,
3,4,1,0,0,0,,,
3,4,1,0,0,0,,,
4,4,1,0,0,0,,,
4,4,1,0,0,0,,,
2,2,1,0,0,0,,,
2,2,1,0,0,0,,,
2,2,1,0,0,0,,,
3,2,0,1,0,0,,,
3,2,0,1,0,0,,,
0,0,1,0,0,0,,,
2,0,0,1,1,0,,,
2,1,0,1,0,0,,,
4,4,1,0,0,0,,,
1,0,0,1,0,0,,,
4,3,0,1,0,0,,,
4,0,0,1,1,1,,,
3,3,1,0,0,0,,,
3,1,0,1,0,1,,,
2,2,1,0,0,0,,,
4,3,0,1,0,0,,,
4,1,0,1,0,1,,,
2,3,1,0,0,0,,,
4,4,1,0,0,0,,,
3,4,1,0,0,0,,,
3,3,1,0,0,0,,,
2,4,1,0,0,0,,,
2,3,1,0,0,0,,,
0,1,1,0,0,0,,,
0,1,1,0,0,0,,,
4,4,1,0,0,0,,,
3,0,0,1,1,1,,,
4,1,0,1,0,1,,,
3,4,1,0,0,0,,,
4,4,1,0,0,0,,,
2,4,1,0,0,0,,,
1,1,1,0,0,0,,,
0,2,1,0,0,0,,,
1,2,1,0,0,0,,,
4,4,1,0,0,0,,,
4,4,1,0,0,0,,,
2,2,1,0,0,0,,,
2,4,1,0,0,0,,,
4,4,1,0,0,0,,,
3,0,0,1,1,1,,,
0,0,1,0,0,0,,,
2,2,1,0,0,0,,,
0,0,1,0,0,0,,,
4,4,1,0,0,0,,,
4,4,1,0,0,0,,,
2,2,1,0,0,0,,,
3,4,1,0,0,0,,,
3,0,0,1,1,1,,,
1,4,1,0,0,0,,,
4,4,1,0,0,0,,,
1,0,0,1,0,0,,,
2,2,1,0,0,0,,,
3,3,1,0,0,0,,,
1,1,1,0,0,0,,,
4,4,1,0,0,0,,,
2,4,1,0,0,0,,,
0,3,1,0,0,0,,,
4,4,1,0,0,0,,,
4,4,1,0,0,0,,,
4,2,0,1,0,0,,,
4,4,1,0,0,0,,,
2,2,1,0,0,0,,,
2,3,1,0,0,0,,,
4,2,0,1,0,0,,,
4,4,1,0,0,0,,,
4,1,0,1,0,1,,,
1,0,0,1,0,0,,,
2,0,0,1,1,0,,,
0,4,1,0,0,0,,,
0,0,1,0,0,0,,,
3,3,1,0,0,0,,,
3,2,0,1,0,0,,,
4,4,1,0,0,0,,,
