Model,Truth,Match,Correct or Under,Bad,Really Bad,Down instead of Up,,,
2,3,0,1,0,0,0,,Exact match,0.887159533
2,2,1,1,0,0,0,,Right or under,0.957364341
2,2,1,1,0,0,0,,Truth worse than prediction,0.042801556
2,2,1,1,0,0,0,,,
2,2,1,1,0,0,0,,Predicted even or better and ended up more than 5% down,0.003891051
2,2,1,1,0,0,0,,Predicted increase but had a decrease,0
2,2,1,1,0,0,0,,,
1,2,0,1,0,0,0,,,
2,2,1,1,0,0,0,,,
2,2,1,1,0,0,0,,,
2,2,1,1,0,0,0,,,
2,2,1,1,0,0,0,,,
2,2,1,1,0,0,0,,,
2,2,1,1,0,0,0,,,
2,2,1,1,0,0,0,,,
2,2,1,1,0,0,0,,,
2,2,1,1,0,0,0,,,
2,2,1,1,0,0,0,,,
2,2,1,1,0,0,0,,,
2,2,1,1,0,0,0,,,
2,2,1,1,0,0,0,,,
2,2,1,1,0,0,0,,,
2,4,0,1,0,0,0,,,
2,2,1,1,0,0,0,,,
2,2,1,1,0,0,0,,,
0,1,0,1,0,0,0,,,
2,2,1,1,0,0,0,,,
2,2,1,1,0,0,0,,,
2,2,1,1,0,0,0,,,
2,2,1,1,0,0,0,,,
2,2,1,1,0,0,0,,,
2,2,1,1,0,0,0,,,
2,2,1,1,0,0,0,,,
2,2,1,1,0,0,0,,,
2,1,0,0,1,0,0,,,
2,3,0,1,0,0,0,,,
2,1,0,0,1,0,0,,,
2,2,1,1,0,0,0,,,
2,2,1,1,0,0,0,,,
2,2,1,1,0,0,0,,,
2,2,1,1,0,0,0,,,
2,2,1,1,0,0,0,,,
2,2,1,1,0,0,0,,,
2,2,1,1,0,0,0,,,
2,2,1,1,0,0,0,,,
2,2,1,1,0,0,0,,,
2,2,1,1,0,0,0,,,
2,2,1,1,0,0,0,,,
2,2,1,1,0,0,0,,,
2,2,1,1,0,0,0,,,
2,2,1,1,0,0,0,,,
2,2,1,1,0,0,0,,,
2,2,1,1,0,0,0,,,
2,2,1,1,0,0,0,,,
2,2,1,1,0,0,0,,,
2,2,1,1,0,0,0,,,
3,2,0,0,1,0,0,,,
2,2,1,1,0,0,0,,,
1,1,1,1,0,0,0,,,
2,2,1,1,0,0,0,,,
2,2,1,1,0,0,0,,,
2,2,1,1,0,0,0,,,
2,2,1,1,0,0,0,,,
2,2,1,1,0,0,0,,,
2,2,1,1,0,0,0,,,
2,2,1,1,0,0,0,,,
2,2,1,1,0,0,0,,,
2,2,1,1,0,0,0,,,
2,2,1,1,0,0,0,,,
2,2,1,1,0,0,0,,,
2,2,1,1,0,0,0,,,
2,2,1,1,0,0,0,,,
2,2,1,1,0,0,0,,,
2,2,1,1,0,0,0,,,
2,2,1,1,0,0,0,,,
2,2,1,1,0,0,0,,,
2,2,1,1,0,0,0,,,
2,2,1,1,0,0,0,,,
2,4,0,1,0,0,0,,,
2,2,1,1,0,0,0,,,
2,2,1,1,0,0,0,,,
2,2,1,1,0,0,0,,,
2,2,1,1,0,0,0,,,
2,2,1,1,0,0,0,,,
2,2,1,1,0,0,0,,,
2,2,1,1,0,0,0,,,
2,2,1,1,0,0,0,,,
2,2,1,1,0,0,0,,,
2,2,1,1,0,0,0,,,
2,2,1,1,0,0,0,,,
2,2,1,1,0,0,0,,,
2,2,1,1,0,0,0,,,
2,2,1,1,0,0,0,,,
2,2,1,1,0,0,0,,,
2,2,1,1,0,0,0,,,
2,2,1,1,0,0,0,,,
2,2,1,1,0,0,0,,,
2,2,1,1,0,0,0,,,
2,2,1,1,0,0,0,,,
2,2,1,1,0,0,0,,,
2,2,1,1,0,0,0,,,
2,1,0,0,1,0,0,,,
2,2,1,1,0,0,0,,,
2,2,1,1,0,0,0,,,
2,2,1,1,0,0,0,,,
2,2,1,1,0,0,0,,,
2,2,1,1,0,0,0,,,
2,2,1,1,0,0,0,,,
2,2,1,1,0,0,0,,,
2,2,1,1,0,0,0,,,
2,2,1,1,0,0,0,,,
2,2,1,1,0,0,0,,,
2,2,1,1,0,0,0,,,
2,2,1,1,0,0,0,,,
2,2,1,1,0,0,0,,,
2,2,1,1,0,0,0,,,
2,2,1,1,0,0,0,,,
2,2,1,1,0,0,0,,,
2,2,1,1,0,0,0,,,
2,2,1,1,0,0,0,,,
2,2,1,1,0,0,0,,,
2,2,1,1,0,0,0,,,
2,3,0,1,0,0,0,,,
2,2,1,1,0,0,0,,,
2,2,1,1,0,0,0,,,
2,3,0,1,0,0,0,,,
2,2,1,1,0,0,0,,,
2,1,0,0,1,0,0,,,
2,2,1,1,0,0,0,,,
2,2,1,1,0,0,0,,,
2,2,1,1,0,0,0,,,
2,2,1,1,0,0,0,,,
2,2,1,1,0,0,0,,,
2,2,1,1,0,0,0,,,
2,2,1,1,0,0,0,,,
2,2,1,1,0,0,0,,,
1,2,0,1,0,0,0,,,
2,2,1,1,0,0,0,,,
2,2,1,1,0,0,0,,,
2,2,1,1,0,0,0,,,
2,2,1,1,0,0,0,,,
2,2,1,1,0,0,0,,,
2,3,0,1,0,0,0,,,
2,2,1,1,0,0,0,,,
2,2,1,1,0,0,0,,,
2,2,1,1,0,0,0,,,
2,2,1,1,0,0,0,,,
2,2,1,1,0,0,0,,,
2,2,1,1,0,0,0,,,
2,2,1,1,0,0,0,,,
2,2,1,1,0,0,0,,,
2,2,1,1,0,0,0,,,
2,3,0,1,0,0,0,,,
2,2,1,1,0,0,0,,,
2,2,1,1,0,0,0,,,
2,2,1,1,0,0,0,,,
2,2,1,1,0,0,0,,,
2,2,1,1,0,0,0,,,
2,2,1,1,0,0,0,,,
2,2,1,1,0,0,0,,,
2,2,1,1,0,0,0,,,
2,2,1,1,0,0,0,,,
2,2,1,1,0,0,0,,,
2,2,1,1,0,0,0,,,
2,2,1,1,0,0,0,,,
2,2,1,1,0,0,0,,,
2,2,1,1,0,0,0,,,
2,2,1,1,0,0,0,,,
3,2,0,0,1,0,0,,,
2,3,0,1,0,0,0,,,
2,2,1,1,0,0,0,,,
2,2,1,1,0,0,0,,,
2,2,1,1,0,0,0,,,
2,2,1,1,0,0,0,,,
2,2,1,1,0,0,0,,,
2,2,1,1,0,0,0,,,
2,2,1,1,0,0,0,,,
2,2,1,1,0,0,0,,,
2,2,1,1,0,0,0,,,
2,2,1,1,0,0,0,,,
2,3,0,1,0,0,0,,,
2,2,1,1,0,0,0,,,
2,2,1,1,0,0,0,,,
2,2,1,1,0,0,0,,,
2,2,1,1,0,0,0,,,
2,2,1,1,0,0,0,,,
2,1,0,0,1,0,0,,,
2,2,1,1,0,0,0,,,
2,2,1,1,0,0,0,,,
3,2,0,0,1,0,0,,,
2,2,1,1,0,0,0,,,
2,2,1,1,0,0,0,,,
2,2,1,1,0,0,0,,,
2,2,1,1,0,0,0,,,
2,2,1,1,0,0,0,,,
2,2,1,1,0,0,0,,,
2,2,1,1,0,0,0,,,
2,2,1,1,0,0,0,,,
2,2,1,1,0,0,0,,,
2,2,1,1,0,0,0,,,
2,3,0,1,0,0,0,,,
2,2,1,1,0,0,0,,,
1,2,0,1,0,0,0,,,
2,2,1,1,0,0,0,,,
2,2,1,1,0,0,0,,,
2,2,1,1,0,0,0,,,
2,2,1,1,0,0,0,,,
2,2,1,1,0,0,0,,,
2,2,1,1,0,0,0,,,
2,2,1,1,0,0,0,,,
2,2,1,1,0,0,0,,,
2,2,1,1,0,0,0,,,
1,2,0,1,0,0,0,,,
2,2,1,1,0,0,0,,,
2,2,1,1,0,0,0,,,
2,2,1,1,0,0,0,,,
2,2,1,1,0,0,0,,,
2,2,1,1,0,0,0,,,
2,2,1,1,0,0,0,,,
2,1,0,0,1,0,0,,,
2,2,1,1,0,0,0,,,
2,2,1,1,0,0,0,,,
2,3,0,1,0,0,0,,,
2,2,1,1,0,0,0,,,
2,0,0,0,1,1,0,,,
2,2,1,1,0,0,0,,,
2,2,1,1,0,0,0,,,
2,2,1,1,0,0,0,,,
2,2,1,1,0,0,0,,,
2,2,1,1,0,0,0,,,
2,3,0,1,0,0,0,,,
2,2,1,1,0,0,0,,,
2,2,1,1,0,0,0,,,
2,2,1,1,0,0,0,,,
2,2,1,1,0,0,0,,,
2,2,1,1,0,0,0,,,
2,2,1,1,0,0,0,,,
2,2,1,1,0,0,0,,,
2,2,1,1,0,0,0,,,
2,3,0,1,0,0,0,,,
2,2,1,1,0,0,0,,,
2,2,1,1,0,0,0,,,
2,2,1,1,0,0,0,,,
2,2,1,1,0,0,0,,,
2,2,1,1,0,0,0,,,
2,1,0,0,1,0,0,,,
2,2,1,1,0,0,0,,,
2,2,1,1,0,0,0,,,
2,2,1,1,0,0,0,,,
2,2,1,1,0,0,0,,,
2,2,1,1,0,0,0,,,
2,2,1,1,0,0,0,,,
2,2,1,1,0,0,0,,,
2,2,1,1,0,0,0,,,
2,2,1,1,0,0,0,,,
2,2,1,1,0,0,0,,,
2,2,1,1,0,0,0,,,
2,2,1,1,0,0,0,,,
