Model,Direction,Truth,Direction,Correct or Under,Bad,Really Bad,Down instead of Up,,Key,,,,
2,even,1,down,0,1,0,0,,0,down,,0.852140078,Right or under
2,even,2,even,1,0,0,0,,1,down,,0.147859922,Truth worse than prediction
3,up,3,up,1,0,0,0,,2,even,,,
2,even,2,even,1,0,0,0,,3,up,,0.007782101,Predicted even or better and ended up more than 5% down
2,even,2,even,1,0,0,0,,4,up,,0.015564202,Predicted increase but had a decrease
2,even,2,even,1,0,0,0,,,,,,
2,even,2,even,1,0,0,0,,,,,,
1,down,2,even,1,0,0,0,,,,,,
2,even,2,even,1,0,0,0,,,,,,
2,even,2,even,1,0,0,0,,,,,,
2,even,2,even,1,0,0,0,,,,,,
2,even,3,up,1,0,0,0,,,,,,
2,even,2,even,1,0,0,0,,,,,,
2,even,2,even,1,0,0,0,,,,,,
3,up,2,even,0,1,0,0,,,,,,
3,up,4,up,1,0,0,0,,,,,,
2,even,2,even,1,0,0,0,,,,,,
2,even,2,even,1,0,0,0,,,,,,
2,even,3,up,1,0,0,0,,,,,,
3,up,2,even,0,1,0,0,,,,,,
3,up,3,up,1,0,0,0,,,,,,
1,down,2,even,1,0,0,0,,,,,,
2,even,2,even,1,0,0,0,,,,,,
2,even,2,even,1,0,0,0,,,,,,
2,even,2,even,1,0,0,0,,,,,,
2,even,3,up,1,0,0,0,,,,,,
2,even,3,up,1,0,0,0,,,,,,
4,up,4,up,1,0,0,0,,,,,,
2,even,2,even,1,0,0,0,,,,,,
2,even,1,down,0,1,0,0,,,,,,
2,even,2,even,1,0,0,0,,,,,,
2,even,2,even,1,0,0,0,,,,,,
3,up,3,up,1,0,0,0,,,,,,
2,even,2,even,1,0,0,0,,,,,,
2,even,2,even,1,0,0,0,,,,,,
3,up,1,down,0,1,0,1,,,,,,
3,up,3,up,1,0,0,0,,,,,,
3,up,3,up,1,0,0,0,,,,,,
2,even,2,even,1,0,0,0,,,,,,
2,even,2,even,1,0,0,0,,,,,,
2,even,2,even,1,0,0,0,,,,,,
2,even,3,up,1,0,0,0,,,,,,
2,even,2,even,1,0,0,0,,,,,,
1,down,1,down,1,0,0,0,,,,,,
2,even,3,up,1,0,0,0,,,,,,
1,down,2,even,1,0,0,0,,,,,,
2,even,1,down,0,1,0,0,,,,,,
3,up,3,up,1,0,0,0,,,,,,
3,up,2,even,0,1,0,0,,,,,,
3,up,2,even,0,1,0,0,,,,,,
2,even,2,even,1,0,0,0,,,,,,
2,even,2,even,1,0,0,0,,,,,,
2,even,2,even,1,0,0,0,,,,,,
2,even,2,even,1,0,0,0,,,,,,
2,even,2,even,1,0,0,0,,,,,,
2,even,2,even,1,0,0,0,,,,,,
2,even,3,up,1,0,0,0,,,,,,
3,up,2,even,0,1,0,0,,,,,,
2,even,3,up,1,0,0,0,,,,,,
2,even,2,even,1,0,0,0,,,,,,
2,even,2,even,1,0,0,0,,,,,,
2,even,2,even,1,0,0,0,,,,,,
2,even,2,even,1,0,0,0,,,,,,
1,down,0,down,0,1,0,0,,,,,,
2,even,2,even,1,0,0,0,,,,,,
2,even,2,even,1,0,0,0,,,,,,
2,even,2,even,1,0,0,0,,,,,,
3,up,2,even,0,1,0,0,,,,,,
2,even,2,even,1,0,0,0,,,,,,
2,even,3,up,1,0,0,0,,,,,,
3,up,3,up,1,0,0,0,,,,,,
2,even,2,even,1,0,0,0,,,,,,
2,even,3,up,1,0,0,0,,,,,,
0,down,2,even,1,0,0,0,,,,,,
3,up,2,even,0,1,0,0,,,,,,
2,even,3,up,1,0,0,0,,,,,,
2,even,1,down,0,1,0,0,,,,,,
2,even,2,even,1,0,0,0,,,,,,
2,even,2,even,1,0,0,0,,,,,,
2,even,2,even,1,0,0,0,,,,,,
1,down,2,even,1,0,0,0,,,,,,
2,even,3,up,1,0,0,0,,,,,,
2,even,2,even,1,0,0,0,,,,,,
2,even,2,even,1,0,0,0,,,,,,
1,down,1,down,1,0,0,0,,,,,,
2,even,3,up,1,0,0,0,,,,,,
2,even,2,even,1,0,0,0,,,,,,
3,up,3,up,1,0,0,0,,,,,,
3,up,3,up,1,0,0,0,,,,,,
2,even,2,even,1,0,0,0,,,,,,
2,even,2,even,1,0,0,0,,,,,,
2,even,3,up,1,0,0,0,,,,,,
2,even,2,even,1,0,0,0,,,,,,
2,even,3,up,1,0,0,0,,,,,,
2,even,2,even,1,0,0,0,,,,,,
2,even,2,even,1,0,0,0,,,,,,
2,even,2,even,1,0,0,0,,,,,,
2,even,2,even,1,0,0,0,,,,,,
3,up,3,up,1,0,0,0,,,,,,
2,even,1,down,0,1,0,0,,,,,,
2,even,2,even,1,0,0,0,,,,,,
2,even,3,up,1,0,0,0,,,,,,
2,even,2,even,1,0,0,0,,,,,,
3,up,2,even,0,1,0,0,,,,,,
2,even,2,even,1,0,0,0,,,,,,
2,even,3,up,1,0,0,0,,,,,,
2,even,2,even,1,0,0,0,,,,,,
2,even,2,even,1,0,0,0,,,,,,
2,even,1,down,0,1,0,0,,,,,,
2,even,2,even,1,0,0,0,,,,,,
2,even,2,even,1,0,0,0,,,,,,
3,up,4,up,1,0,0,0,,,,,,
2,even,1,down,0,1,0,0,,,,,,
2,even,2,even,1,0,0,0,,,,,,
2,even,3,up,1,0,0,0,,,,,,
4,up,4,up,1,0,0,0,,,,,,
2,even,3,up,1,0,0,0,,,,,,
2,even,2,even,1,0,0,0,,,,,,
3,up,3,up,1,0,0,0,,,,,,
1,down,1,down,1,0,0,0,,,,,,
2,even,4,up,1,0,0,0,,,,,,
2,even,2,even,1,0,0,0,,,,,,
2,even,3,up,1,0,0,0,,,,,,
2,even,3,up,1,0,0,0,,,,,,
2,even,2,even,1,0,0,0,,,,,,
2,even,2,even,1,0,0,0,,,,,,
2,even,2,even,1,0,0,0,,,,,,
3,up,1,down,0,1,0,1,,,,,,
2,even,2,even,1,0,0,0,,,,,,
1,down,2,even,1,0,0,0,,,,,,
2,even,2,even,1,0,0,0,,,,,,
2,even,1,down,0,1,0,0,,,,,,
2,even,2,even,1,0,0,0,,,,,,
2,even,1,down,0,1,0,0,,,,,,
2,even,1,down,0,1,0,0,,,,,,
2,even,2,even,1,0,0,0,,,,,,
2,even,2,even,1,0,0,0,,,,,,
2,even,2,even,1,0,0,0,,,,,,
2,even,3,up,1,0,0,0,,,,,,
2,even,2,even,1,0,0,0,,,,,,
2,even,2,even,1,0,0,0,,,,,,
2,even,2,even,1,0,0,0,,,,,,
2,even,1,down,0,1,0,0,,,,,,
2,even,1,down,0,1,0,0,,,,,,
2,even,2,even,1,0,0,0,,,,,,
2,even,1,down,0,1,0,0,,,,,,
1,down,2,even,1,0,0,0,,,,,,
2,even,2,even,1,0,0,0,,,,,,
1,down,1,down,1,0,0,0,,,,,,
0,down,0,down,1,0,0,0,,,,,,
0,down,0,down,1,0,0,0,,,,,,
2,even,2,even,1,0,0,0,,,,,,
3,up,3,up,1,0,0,0,,,,,,
2,even,2,even,1,0,0,0,,,,,,
2,even,2,even,1,0,0,0,,,,,,
1,down,0,down,0,1,0,0,,,,,,
2,even,2,even,1,0,0,0,,,,,,
3,up,2,even,0,1,0,0,,,,,,
2,even,2,even,1,0,0,0,,,,,,
2,even,2,even,1,0,0,0,,,,,,
2,even,2,even,1,0,0,0,,,,,,
2,even,2,even,1,0,0,0,,,,,,
3,up,3,up,1,0,0,0,,,,,,
2,even,2,even,1,0,0,0,,,,,,
2,even,2,even,1,0,0,0,,,,,,
2,even,2,even,1,0,0,0,,,,,,
3,up,2,even,0,1,0,0,,,,,,
2,even,2,even,1,0,0,0,,,,,,
3,up,1,down,0,1,0,1,,,,,,
2,even,2,even,1,0,0,0,,,,,,
2,even,2,even,1,0,0,0,,,,,,
1,down,1,down,1,0,0,0,,,,,,
3,up,3,up,1,0,0,0,,,,,,
2,even,2,even,1,0,0,0,,,,,,
0,down,2,even,1,0,0,0,,,,,,
0,down,1,down,1,0,0,0,,,,,,
2,even,2,even,1,0,0,0,,,,,,
2,even,2,even,1,0,0,0,,,,,,
1,down,0,down,0,1,0,0,,,,,,
2,even,2,even,1,0,0,0,,,,,,
2,even,1,down,0,1,0,0,,,,,,
2,even,2,even,1,0,0,0,,,,,,
2,even,2,even,1,0,0,0,,,,,,
2,even,2,even,1,0,0,0,,,,,,
2,even,0,down,0,1,1,0,,,,,,
2,even,2,even,1,0,0,0,,,,,,
3,up,3,up,1,0,0,0,,,,,,
2,even,3,up,1,0,0,0,,,,,,
1,down,1,down,1,0,0,0,,,,,,
2,even,2,even,1,0,0,0,,,,,,
2,even,2,even,1,0,0,0,,,,,,
3,up,2,even,0,1,0,0,,,,,,
2,even,3,up,1,0,0,0,,,,,,
2,even,2,even,1,0,0,0,,,,,,
2,even,2,even,1,0,0,0,,,,,,
1,down,1,down,1,0,0,0,,,,,,
2,even,2,even,1,0,0,0,,,,,,
3,up,3,up,1,0,0,0,,,,,,
0,down,0,down,1,0,0,0,,,,,,
2,even,3,up,1,0,0,0,,,,,,
3,up,3,up,1,0,0,0,,,,,,
3,up,3,up,1,0,0,0,,,,,,
2,even,2,even,1,0,0,0,,,,,,
3,up,2,even,0,1,0,0,,,,,,
3,up,0,down,0,1,1,1,,,,,,
2,even,3,up,1,0,0,0,,,,,,
2,even,2,even,1,0,0,0,,,,,,
2,even,2,even,1,0,0,0,,,,,,
2,even,2,even,1,0,0,0,,,,,,
3,up,2,even,0,1,0,0,,,,,,
2,even,2,even,1,0,0,0,,,,,,
2,even,2,even,1,0,0,0,,,,,,
3,up,3,up,1,0,0,0,,,,,,
3,up,3,up,1,0,0,0,,,,,,
2,even,2,even,1,0,0,0,,,,,,
2,even,2,even,1,0,0,0,,,,,,
2,even,2,even,1,0,0,0,,,,,,
2,even,2,even,1,0,0,0,,,,,,
2,even,2,even,1,0,0,0,,,,,,
2,even,2,even,1,0,0,0,,,,,,
2,even,3,up,1,0,0,0,,,,,,
2,even,3,up,1,0,0,0,,,,,,
1,down,1,down,1,0,0,0,,,,,,
2,even,2,even,1,0,0,0,,,,,,
2,even,2,even,1,0,0,0,,,,,,
3,up,3,up,1,0,0,0,,,,,,
2,even,3,up,1,0,0,0,,,,,,
1,down,2,even,1,0,0,0,,,,,,
3,up,3,up,1,0,0,0,,,,,,
2,even,2,even,1,0,0,0,,,,,,
3,up,2,even,0,1,0,0,,,,,,
2,even,2,even,1,0,0,0,,,,,,
3,up,2,even,0,1,0,0,,,,,,
2,even,2,even,1,0,0,0,,,,,,
3,up,2,even,0,1,0,0,,,,,,
2,even,2,even,1,0,0,0,,,,,,
2,even,2,even,1,0,0,0,,,,,,
2,even,2,even,1,0,0,0,,,,,,
2,even,2,even,1,0,0,0,,,,,,
2,even,2,even,1,0,0,0,,,,,,
2,even,2,even,1,0,0,0,,,,,,
2,even,3,up,1,0,0,0,,,,,,
2,even,2,even,1,0,0,0,,,,,,
3,up,3,up,1,0,0,0,,,,,,
2,even,2,even,1,0,0,0,,,,,,
2,even,2,even,1,0,0,0,,,,,,
2,even,2,even,1,0,0,0,,,,,,
2,even,2,even,1,0,0,0,,,,,,
2,even,2,even,1,0,0,0,,,,,,
2,even,2,even,1,0,0,0,,,,,,
2,even,2,even,1,0,0,0,,,,,,
2,even,2,even,1,0,0,0,,,,,,
0,down,0,down,1,0,0,0,,,,,,
2,even,2,even,1,0,0,0,,,,,,
2,even,2,even,1,0,0,0,,,,,,
3,up,3,up,1,0,0,0,,,,,,
2,even,3,up,1,0,0,0,,,,,,
